title,vendor,price,rating,reviews_count
Google Analytics for WooCommerce,Woo,Free,4.3,51
WooCommerce Tax,Woo,Free,4,14
Stripe,Stripe,Free,3.7,47
Klaviyo,Klaviyo,Free,3.9,26
Mailchimp,Mailchimp,Free,3.7,52
Jetpack,Jetpack,Free,4.5,21
Facebook,Facebook,Free,2.6,120
WooPayments,Woo,Free,3.9,139
Google for WooCommerce,Woo,Free,4.2,144
Product Add-Ons,Woo,$79.00,3.3,44
PayPal Payments,PayPal,Free,3.5,290
Square,Woo,Free,3.3,122
USPS Shipping Method,Woo,$109.00,3.1,25
UPS Shipping Method,Woo,$109.00,2,25
Shipment Tracking,Woo,$59.00,3.1,30
Amazon Pay,Amazon Pay,Free,2.9,44
WooCommerce Subscriptions,Woo,$279.00,3.2,109
Min/Max Quantities,Woo,$49.00,4.1,17
Product Bundles,Woo,$79.00,4.7,148
WooCommerce Shipping,Woo,Free,2.5,19
Australia Post Shipping Method,Woo,$109.00,2.3,7
Canada Post Shipping Method,Woo,$109.00,2,7
Royal Mail Shipping Method,Woo,$109.00,2.3,3
Avalara,Avalara,Free,2.4,57
FedEx Shipping Method,Woo,$109.00,2.4,17
TaxJar,TaxJar,Free,1,3
Gift Cards,Woo,$79.00,4.3,46
EU VAT Number,Woo,$39.00,3.2,9
Back In Stock Notifications,Woo,$59.00,4.1,16
Product Recommendations,Woo,$99.00,4.5,15
ShipStation,Woo,Free,3.9,18
AutomateWoo,Woo,$159.00,3.6,26
Payfast Payment Gateway,Woo,Free,4.8,5
Checkout Field Editor,Woo,$49.00,2.7,19
Table Rate Shipping,Woo,$119.00,3.6,18
TikTok,TikTok for Business,Free,2.5,111
WooCommerce Bookings,Woo,$249.00,2.7,58
Pinterest,Woo,Free,3.9,22
"Google, Facebook, Retargeting all-in-one Marketing",Kliken,Free,4.3,119
WooCommerce Memberships,SkyVerge,$199.00,4,141
Product CSV Import Suite,Woo,$59.00,2.8,12
"Authorize.net, a Visa solution",SkyVerge,$79.00,4.1,106
Xero,Woo,$109.00,2.5,17
